Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
T1,13/08/94,Zeytinburnu,Fenerbahce,1,4,A
T1,14/08/94,Ad. Demirspor,Antalya,1,0,H
T1,14/08/94,Ankaragucu,Gaziantepspor,1,0,H
T1,14/08/94,Bursaspor,P. Ofisi,5,2,H
T1,14/08/94,Denizlispor,Besiktas,1,3,A
T1,14/08/94,Galatasaray,Genclerbirligi,3,1,H
T1,14/08/94,Kocaelispor,Samsunspor,0,0,D
T1,14/08/94,Trabzonspor,Altay,3,1,H
T1,14/08/94,Vanspor,Kayseri,3,0,H
T1,20/08/94,Fenerbahce,Ankaragucu,2,1,H
T1,20/08/94,P. Ofisi,Galatasaray,0,3,A
T1,21/08/94,Altay,Bursaspor,1,1,D
T1,21/08/94,Antalya,Trabzonspor,1,3,A
T1,21/08/94,Besiktas,Kocaelispor,7,1,H
T1,21/08/94,Gaziantepspor,Denizlispor,3,1,H
T1,21/08/94,Genclerbirligi,Zeytinburnu,1,1,D
T1,21/08/94,Kayseri,Ad. Demirspor,4,2,H
T1,21/08/94,Samsunspor,Vanspor,2,1,H
T1,27/08/94,Denizlispor,Fenerbahce,2,3,A
T1,28/08/94,Ad. Demirspor,Samsunspor,2,0,H
T1,28/08/94,Bursaspor,Antalya,2,1,H
T1,28/08/94,Galatasaray,Altay,3,1,H
T1,28/08/94,Genclerbirligi,P. Ofisi,1,0,H
T1,28/08/94,Kocaelispor,Gaziantepspor,2,1,H
T1,28/08/94,Trabzonspor,Kayseri,5,2,H
T1,28/08/94,Vanspor,Besiktas,0,2,A
T1,28/08/94,Zeytinburnu,Ankaragucu,2,0,H
T1,10/9/1994,Ankaragucu,Denizlispor,2,1,H
T1,10/9/1994,Fenerbahce,Kocaelispor,5,1,H
T1,10/9/1994,Samsunspor,Trabzonspor,3,1,H
T1,11/9/1994,Altay,Genclerbirligi,1,1,D
T1,11/9/1994,Antalya,Galatasaray,0,5,A
T1,11/9/1994,Besiktas,Ad. Demirspor,3,0,H
T1,11/9/1994,Gaziantepspor,Vanspor,1,0,H
T1,11/9/1994,Kayseri,Bursaspor,2,1,H
T1,11/9/1994,P. Ofisi,Zeytinburnu,2,0,H
T1,17/09/94,P. Ofisi,Altay,2,2,D
T1,17/09/94,Vanspor,Fenerbahce,1,0,H
T1,18/09/94,Ad. Demirspor,Gaziantepspor,3,2,H
T1,18/09/94,Bursaspor,Samsunspor,1,1,D
T1,18/09/94,Galatasaray,Kayseri,2,1,H
T1,18/09/94,Genclerbirligi,Antalya,3,1,H
T1,18/09/94,Kocaelispor,Ankaragucu,2,0,H
T1,18/09/94,Trabzonspor,Besiktas,0,2,A
T1,18/09/94,Zeytinburnu,Denizlispor,1,0,H
T1,24/09/94,Fenerbahce,Ad. Demirspor,3,0,H
T1,24/09/94,Gaziantepspor,Trabzonspor,0,2,A
T1,24/09/94,Samsunspor,Galatasaray,2,2,D
T1,25/09/94,Altay,Zeytinburnu,2,0,H
T1,25/09/94,Ankaragucu,Vanspor,1,0,H
T1,25/09/94,Antalya,P. Ofisi,0,1,A
T1,25/09/94,Besiktas,Bursaspor,1,2,A
T1,25/09/94,Denizlispor,Kocaelispor,4,3,H
T1,25/09/94,Kayseri,Genclerbirligi,3,4,A
T1,1/10/1994,Genclerbirligi,Samsunspor,5,1,H
T1,2/10/1994,Ad. Demirspor,Ankaragucu,2,3,A
T1,2/10/1994,Altay,Antalya,1,1,D
T1,2/10/1994,Bursaspor,Gaziantepspor,3,0,H
T1,2/10/1994,Galatasaray,Besiktas,3,1,H
T1,2/10/1994,P. Ofisi,Kayseri,0,1,A
T1,2/10/1994,Trabzonspor,Fenerbahce,1,0,H
T1,2/10/1994,Vanspor,Denizlispor,2,1,H
T1,2/10/1994,Zeytinburnu,Kocaelispor,3,2,H
T1,8/10/1994,Ankaragucu,Trabzonspor,1,1,D
T1,8/10/1994,Besiktas,Genclerbirligi,2,0,H
T1,8/10/1994,Fenerbahce,Bursaspor,1,1,D
T1,8/10/1994,Gaziantepspor,Galatasaray,2,2,D
T1,9/10/1994,Antalya,Zeytinburnu,4,0,H
T1,9/10/1994,Denizlispor,Ad. Demirspor,2,0,H
T1,9/10/1994,Kayseri,Altay,1,1,D
T1,9/10/1994,Kocaelispor,Vanspor,2,0,H
T1,9/10/1994,Samsunspor,P. Ofisi,8,2,H
T1,15/10/94,Galatasaray,Fenerbahce,1,1,D
T1,15/10/94,Genclerbirligi,Gaziantepspor,3,2,H
T1,15/10/94,Trabzonspor,Denizlispor,3,1,H
T1,16/10/94,Ad. Demirspor,Kocaelispor,1,1,D
T1,16/10/94,Altay,Samsunspor,3,2,H
T1,16/10/94,Antalya,Kayseri,2,0,H
T1,16/10/94,Bursaspor,Ankaragucu,1,0,H
T1,16/10/94,P. Ofisi,Besiktas,0,2,A
T1,16/10/94,Zeytinburnu,Vanspor,0,2,A
T1,22/10/94,Fenerbahce,Genclerbirligi,2,3,A
T1,22/10/94,Kocaelispor,Trabzonspor,2,2,D
T1,23/10/94,Ankaragucu,Galatasaray,2,1,H
T1,23/10/94,Besiktas,Altay,1,0,H
T1,23/10/94,Denizlispor,Bursaspor,3,1,H
T1,23/10/94,Gaziantepspor,P. Ofisi,1,0,H
T1,23/10/94,Kayseri,Zeytinburnu,2,1,H
T1,23/10/94,Samsunspor,Antalya,1,0,H
T1,23/10/94,Vanspor,Ad. Demirspor,2,0,H
T1,29/10/94,Galatasaray,Denizlispor,4,0,H
T1,29/10/94,P. Ofisi,Fenerbahce,0,4,A
T1,29/10/94,Trabzonspor,Vanspor,0,0,D
T1,30/10/94,Altay,Gaziantepspor,5,2,H
T1,30/10/94,Antalya,Besiktas,1,1,D
T1,30/10/94,Bursaspor,Kocaelispor,1,0,H
T1,30/10/94,Genclerbirligi,Ankaragucu,1,0,H
T1,30/10/94,Kayseri,Samsunspor,2,2,D
T1,30/10/94,Zeytinburnu,Ad. Demirspor,4,2,H
T1,5/11/1994,Ad. Demirspor,Trabzonspor,0,3,A
T1,5/11/1994,Fenerbahce,Altay,2,1,H
T1,6/11/1994,Ankaragucu,P. Ofisi,1,2,A
T1,6/11/1994,Besiktas,Kayseri,4,1,H
T1,6/11/1994,Denizlispor,Genclerbirligi,0,0,D
T1,6/11/1994,Gaziantepspor,Antalya,2,0,H
T1,6/11/1994,Kocaelispor,Galatasaray,0,2,A
T1,6/11/1994,Samsunspor,Zeytinburnu,1,1,D
T1,6/11/1994,Vanspor,Bursaspor,2,0,H
T1,12/11/1994,Genclerbirligi,Kocaelispor,1,1,D
T1,13/11/94,Altay,Ankaragucu,1,1,D
T1,13/11/94,Antalya,Fenerbahce,2,1,H
T1,13/11/94,Bursaspor,Ad. Demirspor,2,0,H
T1,13/11/94,Galatasaray,Vanspor,4,1,H
T1,13/11/94,Kayseri,Gaziantepspor,1,1,D
T1,13/11/94,P. Ofisi,Denizlispor,1,3,A
T1,13/11/94,Samsunspor,Besiktas,2,3,A
T1,13/11/94,Zeytinburnu,Trabzonspor,1,6,A
T1,19/11/94,Ad. Demirspor,Galatasaray,1,2,A
T1,19/11/94,Trabzonspor,Bursaspor,1,0,H
T1,20/11/94,Ankaragucu,Antalya,2,2,D
T1,20/11/94,Besiktas,Zeytinburnu,3,1,H
T1,20/11/94,Denizlispor,Altay,1,1,D
T1,20/11/94,Fenerbahce,Kayseri,8,1,H
T1,20/11/94,Gaziantepspor,Samsunspor,1,2,A
T1,20/11/94,Kocaelispor,P. Ofisi,4,0,H
